region	time	cases	deaths	millis
Region 1	2020-03-26	423	638	1585195200000
Region 1	2020-03-27	452	65	1585281600000
Region 1	2020-03-28	913	98	1585368000000
Region 1	2020-03-29	953	643	1585454400000
Region 1	2020-03-30	637	543	1585540800000
Region 1	2020-03-31	34	167	1585627200000
Region 1	2020-04-01	203	649	1585713600000
Region 1	2020-04-02	165	328	1585800000000
Region 1	2020-04-03	975	231	1585886400000
Region 1	2020-04-04	575	532	1585972800000
Region 1	2020-04-05	995	500	1586059200000
Region 1	2020-04-06	547	129	1586145600000
Region 1	2020-04-07	147	420	1586232000000
Region 1	2020-04-08	564	792	1586318400000
Region 1	2020-04-09	84	822	1586404800000
Region 1	2020-04-10	730	707	1586491200000
Region 1	2020-04-11	457	522	1586577600000
Region 1	2020-04-12	229	53	1586664000000
Region 1	2020-04-13	494	605	1586750400000
Region 1	2020-04-14	386	219	1586836800000
Region 1	2020-04-15	333	186	1586923200000
Region 1	2020-04-16	951	16	1587009600000
Region 1	2020-04-17	737	8	1587096000000
Region 1	2020-04-18	513	134	1587182400000
Region 1	2020-04-19	740	500	1587268800000
Region 1	2020-04-20	297	580	1587355200000
Region 1	2020-04-21	23	873	1587441600000
Region 1	2020-04-22	902	956	1587528000000
Region 2S	2020-03-26	883	29	1585195200000
Region 2S	2020-03-27	837	983	1585281600000
Region 2S	2020-03-28	632	255	1585368000000
Region 2S	2020-03-29	818	293	1585454400000
Region 2S	2020-03-30	753	978	1585540800000
Region 2S	2020-03-31	769	540	1585627200000
Region 2S	2020-04-01	464	664	1585713600000
Region 2S	2020-04-02	409	626	1585800000000
Region 2S	2020-04-03	387	925	1585886400000
Region 2S	2020-04-04	165	776	1585972800000
Region 2S	2020-04-05	754	128	1586059200000
Region 2S	2020-04-06	393	564	1586145600000
Region 2S	2020-04-07	691	69	1586232000000
Region 2S	2020-04-08	505	653	1586318400000
Region 2S	2020-04-09	180	409	1586404800000
Region 2S	2020-04-10	304	508	1586491200000
Region 2S	2020-04-11	532	84	1586577600000
Region 2S	2020-04-12	449	222	1586664000000
Region 2S	2020-04-13	751	63	1586750400000
Region 2S	2020-04-14	785	512	1586836800000
Region 2S	2020-04-15	950	979	1586923200000
Region 2S	2020-04-16	399	213	1587009600000
Region 2S	2020-04-17	885	398	1587096000000
Region 2S	2020-04-18	812	684	1587182400000
Region 2S	2020-04-19	258	389	1587268800000
Region 2S	2020-04-20	295	970	1587355200000
Region 2S	2020-04-21	421	811	1587441600000
Region 2S	2020-04-22	195	672	1587528000000
Region 2N	2020-03-26	507	15	1585195200000
Region 2N	2020-03-27	793	842	1585281600000
Region 2N	2020-03-28	62	783	1585368000000
Region 2N	2020-03-29	773	240	1585454400000
Region 2N	2020-03-30	22	195	1585540800000
Region 2N	2020-03-31	134	193	1585627200000
Region 2N	2020-04-01	295	688	1585713600000
Region 2N	2020-04-02	940	284	1585800000000
Region 2N	2020-04-03	543	898	1585886400000
Region 2N	2020-04-04	81	881	1585972800000
Region 2N	2020-04-05	979	587	1586059200000
Region 2N	2020-04-06	10	432	1586145600000
Region 2N	2020-04-07	596	418	1586232000000
Region 2N	2020-04-08	156	903	1586318400000
Region 2N	2020-04-09	822	551	1586404800000
Region 2N	2020-04-10	534	595	1586491200000
Region 2N	2020-04-11	451	94	1586577600000
Region 2N	2020-04-12	971	78	1586664000000
Region 2N	2020-04-13	475	893	1586750400000
Region 2N	2020-04-14	412	723	1586836800000
Region 2N	2020-04-15	325	806	1586923200000
Region 2N	2020-04-16	480	289	1587009600000
Region 2N	2020-04-17	746	467	1587096000000
Region 2N	2020-04-18	411	135	1587182400000
Region 2N	2020-04-19	838	451	1587268800000
Region 2N	2020-04-20	996	563	1587355200000
Region 2N	2020-04-21	162	395	1587441600000
Region 2N	2020-04-22	941	335	1587528000000
Region 3	2020-03-26	184	282	1585195200000
Region 3	2020-03-27	137	415	1585281600000
Region 3	2020-03-28	667	317	1585368000000
Region 3	2020-03-29	427	89	1585454400000
Region 3	2020-03-30	90	53	1585540800000
Region 3	2020-03-31	813	514	1585627200000
Region 3	2020-04-01	375	80	1585713600000
Region 3	2020-04-02	827	237	1585800000000
Region 3	2020-04-03	539	950	1585886400000
Region 3	2020-04-04	820	23	1585972800000
Region 3	2020-04-05	391	780	1586059200000
Region 3	2020-04-06	146	980	1586145600000
Region 3	2020-04-07	814	625	1586232000000
Region 3	2020-04-08	894	951	1586318400000
Region 3	2020-04-09	248	797	1586404800000
Region 3	2020-04-10	826	777	1586491200000
Region 3	2020-04-11	689	689	1586577600000
Region 3	2020-04-12	713	159	1586664000000
Region 3	2020-04-13	861	871	1586750400000
Region 3	2020-04-14	656	474	1586836800000
Region 3	2020-04-15	684	176	1586923200000
Region 3	2020-04-16	459	868	1587009600000
Region 3	2020-04-17	632	738	1587096000000
Region 3	2020-04-18	63	297	1587182400000
Region 3	2020-04-19	372	999	1587268800000
Region 3	2020-04-20	66	225	1587355200000
Region 3	2020-04-21	127	534	1587441600000
Region 3	2020-04-22	794	91	1587528000000
Region 5	2020-03-26	403	187	1585195200000
Region 5	2020-03-27	618	830	1585281600000
Region 5	2020-03-28	624	736	1585368000000
Region 5	2020-03-29	811	301	1585454400000
Region 5	2020-03-30	561	1	1585540800000
Region 5	2020-03-31	997	671	1585627200000
Region 5	2020-04-01	426	887	1585713600000
Region 5	2020-04-02	218	364	1585800000000
Region 5	2020-04-03	110	207	1585886400000
Region 5	2020-04-04	6	274	1585972800000
Region 5	2020-04-05	524	339	1586059200000
Region 5	2020-04-06	756	348	1586145600000
Region 5	2020-04-07	815	806	1586232000000
Region 5	2020-04-08	851	931	1586318400000
Region 5	2020-04-09	455	577	1586404800000
Region 5	2020-04-10	826	967	1586491200000
Region 5	2020-04-11	446	924	1586577600000
Region 5	2020-04-12	789	269	1586664000000
Region 5	2020-04-13	547	681	1586750400000
Region 5	2020-04-14	409	761	1586836800000
Region 5	2020-04-15	199	979	1586923200000
Region 5	2020-04-16	343	389	1587009600000
Region 5	2020-04-17	943	328	1587096000000
Region 5	2020-04-18	963	669	1587182400000
Region 5	2020-04-19	960	458	1587268800000
Region 5	2020-04-20	459	709	1587355200000
Region 5	2020-04-21	848	10	1587441600000
Region 5	2020-04-22	780	839	1587528000000
Region 6	2020-03-26	70	58	1585195200000
Region 6	2020-03-27	296	213	1585281600000
Region 6	2020-03-28	494	515	1585368000000
Region 6	2020-03-29	300	950	1585454400000
Region 6	2020-03-30	626	659	1585540800000
Region 6	2020-03-31	37	356	1585627200000
Region 6	2020-04-01	796	282	1585713600000
Region 6	2020-04-02	14	180	1585800000000
Region 6	2020-04-03	696	346	1585886400000
Region 6	2020-04-04	57	576	1585972800000
Region 6	2020-04-05	33	53	1586059200000
Region 6	2020-04-06	153	313	1586145600000
Region 6	2020-04-07	617	228	1586232000000
Region 6	2020-04-08	402	793	1586318400000
Region 6	2020-04-09	153	218	1586404800000
Region 6	2020-04-10	233	378	1586491200000
Region 6	2020-04-11	770	467	1586577600000
Region 6	2020-04-12	160	213	1586664000000
Region 6	2020-04-13	145	99	1586750400000
Region 6	2020-04-14	966	358	1586836800000
Region 6	2020-04-15	524	756	1586923200000
Region 6	2020-04-16	721	429	1587009600000
Region 6	2020-04-17	108	951	1587096000000
Region 6	2020-04-18	281	113	1587182400000
Region 6	2020-04-19	435	248	1587268800000
Region 6	2020-04-20	190	943	1587355200000
Region 6	2020-04-21	467	898	1587441600000
Region 6	2020-04-22	142	67	1587528000000
Region 7	2020-03-26	309	774	1585195200000
Region 7	2020-03-27	291	61	1585281600000
Region 7	2020-03-28	232	946	1585368000000
Region 7	2020-03-29	240	725	1585454400000
Region 7	2020-03-30	27	668	1585540800000
Region 7	2020-03-31	356	470	1585627200000
Region 7	2020-04-01	436	223	1585713600000
Region 7	2020-04-02	577	95	1585800000000
Region 7	2020-04-03	393	866	1585886400000
Region 7	2020-04-04	849	629	1585972800000
Region 7	2020-04-05	409	397	1586059200000
Region 7	2020-04-06	986	610	1586145600000
Region 7	2020-04-07	574	201	1586232000000
Region 7	2020-04-08	945	304	1586318400000
Region 7	2020-04-09	823	901	1586404800000
Region 7	2020-04-10	761	851	1586491200000
Region 7	2020-04-11	843	201	1586577600000
Region 7	2020-04-12	683	39	1586664000000
Region 7	2020-04-13	742	750	1586750400000
Region 7	2020-04-14	896	278	1586836800000
Region 7	2020-04-15	937	729	1586923200000
Region 7	2020-04-16	222	839	1587009600000
Region 7	2020-04-17	800	981	1587096000000
Region 7	2020-04-18	124	283	1587182400000
Region 7	2020-04-19	448	308	1587268800000
Region 7	2020-04-20	447	964	1587355200000
Region 7	2020-04-21	287	180	1587441600000
Region 7	2020-04-22	942	316	1587528000000
Region 8	2020-03-26	678	539	1585195200000
Region 8	2020-03-27	61	116	1585281600000
Region 8	2020-03-28	527	910	1585368000000
Region 8	2020-03-29	358	699	1585454400000
Region 8	2020-03-30	991	503	1585540800000
Region 8	2020-03-31	531	323	1585627200000
Region 8	2020-04-01	776	22	1585713600000
Region 8	2020-04-02	93	172	1585800000000
Region 8	2020-04-03	190	324	1585886400000
Region 8	2020-04-04	973	355	1585972800000
Region 8	2020-04-05	995	89	1586059200000
Region 8	2020-04-06	435	350	1586145600000
Region 8	2020-04-07	846	614	1586232000000
Region 8	2020-04-08	625	163	1586318400000
Region 8	2020-04-09	497	962	1586404800000
Region 8	2020-04-10	487	92	1586491200000
Region 8	2020-04-11	237	987	1586577600000
Region 8	2020-04-12	411	43	1586664000000
Region 8	2020-04-13	735	541	1586750400000
Region 8	2020-04-14	278	958	1586836800000
Region 8	2020-04-15	241	18	1586923200000
Region 8	2020-04-16	41	857	1587009600000
Region 8	2020-04-17	95	181	1587096000000
