Date,0-4 Years,5-17 Years,18-34 Years,35-49 Years,50-64 Years,≥ 65 Years
1/1/2020,14.36%,4.56%,1.73%,1.83%,0.94%,1.02%
1/2/2020,11.75%,4.12%,1.90%,1.16%,0.41%,1.04%
1/3/2020,12.32%,3.99%,1.70%,1.15%,0.63%,1.05%
1/4/2020,12.10%,4.41%,1.52%,1.26%,1.00%,0.58%
1/5/2020,10.18%,3.54%,1.44%,1.73%,0.99%,0.59%
1/6/2020,9.41%,2.93%,1.90%,1.30%,1.25%,0.87%
1/7/2020,12.00%,3.14%,1.85%,1.38%,0.79%,0.42%
1/8/2020,10.62%,2.20%,1.28%,0.74%,0.78%,0.50%
1/9/2020,8.85%,2.00%,1.24%,0.96%,0.70%,0.41%
1/10/2020,9.43%,2.20%,1.14%,0.77%,0.59%,0.79%
1/11/2020,10.77%,3.94%,1.69%,0.89%,1.28%,0.96%
1/12/2020,9.68%,3.74%,1.54%,1.22%,1.73%,0.75%
1/13/2020,9.74%,4.26%,1.34%,0.98%,0.53%,0.72%
1/14/2020,10.07%,3.92%,1.33%,1.03%,0.53%,0.79%
1/15/2020,9.08%,3.66%,1.22%,0.96%,1.02%,0.36%
1/16/2020,10.69%,3.12%,1.09%,0.79%,0.81%,0.41%
1/17/2020,8.13%,4.07%,1.06%,0.67%,0.67%,0.69%
1/18/2020,9.07%,6.21%,0.79%,0.77%,0.81%,0.73%
1/19/2020,8.74%,5.05%,0.99%,1.09%,0.73%,0.43%
1/20/2020,9.53%,5.34%,1.25%,0.90%,0.83%,0.49%
1/21/2020,10.84%,4.46%,1.51%,0.79%,0.99%,0.58%
1/22/2020,8.37%,4.95%,1.16%,0.89%,0.82%,0.34%
1/23/2020,9.76%,4.81%,1.18%,0.64%,0.84%,0.43%
1/24/2020,8.45%,4.64%,1.02%,0.84%,0.69%,0.53%
1/25/2020,8.98%,6.16%,1.53%,1.15%,0.67%,0.65%
1/26/2020,9.99%,5.83%,1.75%,1.40%,0.70%,0.78%
1/27/2020,9.44%,6.26%,2.00%,1.32%,1.17%,0.79%
1/28/2020,8.50%,5.39%,1.13%,0.95%,0.88%,0.53%
1/29/2020,11.91%,5.54%,1.36%,1.12%,0.61%,0.69%
1/30/2020,11.93%,5.13%,1.51%,1.37%,1.44%,0.56%
1/31/2020,9.42%,4.41%,1.35%,0.81%,1.03%,0.61%
2/1/2020,11.70%,6.35%,1.61%,1.04%,0.85%,0.80%
2/2/2020,10.99%,6.17%,1.02%,0.69%,1.00%,0.64%
2/3/2020,9.36%,4.79%,1.35%,1.01%,0.74%,0.89%
2/4/2020,8.86%,5.47%,1.34%,1.44%,1.05%,0.95%
2/5/2020,7.25%,4.47%,1.21%,1.12%,1.42%,0.57%
2/6/2020,9.35%,5.38%,1.16%,1.13%,0.84%,0.43%
2/7/2020,9.17%,5.14%,1.11%,1.55%,1.07%,0.49%
2/8/2020,9.65%,4.12%,1.48%,1.88%,0.98%,0.65%
2/9/2020,9.72%,6.01%,1.91%,1.98%,1.57%,0.88%
2/10/2020,10.27%,4.90%,1.50%,1.29%,1.05%,0.37%
2/11/2020,9.34%,4.67%,1.50%,0.96%,0.93%,0.60%
2/12/2020,9.44%,4.13%,1.84%,1.59%,1.20%,0.87%
2/13/2020,9.45%,4.57%,1.73%,0.73%,0.63%,0.23%
2/14/2020,8.11%,4.34%,1.28%,0.99%,0.79%,0.54%
2/15/2020,12.28%,6.58%,1.15%,1.14%,1.13%,0.81%
2/16/2020,10.09%,5.64%,1.15%,1.51%,0.90%,0.70%
2/17/2020,9.28%,6.06%,1.66%,1.58%,1.06%,0.57%
2/18/2020,11.44%,5.27%,1.76%,1.51%,1.26%,0.25%
2/19/2020,9.98%,4.60%,1.22%,0.99%,0.94%,0.67%
2/20/2020,9.07%,3.72%,1.12%,1.39%,0.70%,0.51%
2/21/2020,8.48%,4.00%,1.33%,1.37%,0.73%,0.70%
2/22/2020,9.67%,3.81%,1.50%,0.87%,0.80%,0.92%
2/23/2020,9.42%,4.31%,1.29%,2.12%,1.50%,0.91%
2/24/2020,8.32%,2.61%,1.56%,1.57%,1.25%,0.67%
2/25/2020,9.24%,3.77%,1.33%,1.27%,0.74%,0.57%
2/26/2020,8.29%,3.42%,1.37%,1.34%,1.24%,0.78%
2/27/2020,6.56%,2.85%,1.50%,1.67%,0.93%,0.82%
2/28/2020,9.43%,4.05%,1.33%,1.15%,1.74%,0.84%
2/29/2020,7.49%,4.26%,1.40%,1.04%,1.27%,0.89%
3/1/2020,8.93%,3.73%,1.45%,1.85%,1.05%,0.77%
3/2/2020,7.37%,3.49%,1.44%,1.43%,1.11%,0.63%
3/3/2020,8.64%,3.50%,1.46%,1.57%,1.39%,0.92%
3/4/2020,7.82%,3.22%,1.82%,1.55%,0.95%,0.97%
3/5/2020,7.43%,3.82%,1.45%,1.38%,0.98%,0.99%
3/6/2020,5.72%,2.47%,0.83%,1.28%,0.87%,0.72%
3/7/2020,4.57%,2.63%,0.85%,0.63%,1.00%,0.56%
3/8/2020,10.10%,4.51%,1.45%,1.71%,0.92%,0.96%
3/9/2020,9.26%,3.43%,1.41%,1.13%,0.94%,0.55%
3/10/2020,8.52%,3.40%,1.03%,1.67%,1.36%,0.75%
3/11/2020,8.22%,4.06%,2.39%,2.19%,1.44%,1.24%
