Regions,Region 1,Region 2 North,Region 2 South,Region 3,Region 5,Region 6,Region 7,Region 8,TOTAL
Total Number of Hospital Beds,1818,5303,7023,3160,2185,2753,965,702,23909
Hospital Inpatient Beds,1428,5004,6441,2108,1580,1940,940,497,19938
Hospital Inpatient Bed Occupancy,798,3090,4186,1387,1012,1025,406,202,12106
ICU Beds,185,527,1267,363,173,388,76,57,3036
"ICU Bed 
Occupancy",136,472,991,263,115,254,34,21,2286
Negative Pressure Isolation Total,262,309,591,214,240,235,171,89,2111
"Negative Pressure 
Isolation 
Available",184,90,116,84,128,111,138,74,925
Mechanical Ventilators,239,837,1166,305,177,426,102,78,3330
Available Ventilators,167,460,507,183,126,367,90,73,1973
"Available 
Operating Room",36,66,66,81,38,77,40,37,441
"Available Adult 
MedSurg",244,385,1000,765,539,750,338,247,4268
Available Burn Care,0,0,17,0,10,51,0,11,89
Available Pediatric,24,90,162,102,38,107,29,40,592
Available Psychiatric,56,96,94,25,74,34,6,23,408
Total Morgue Capacity,55,218,672,112,38,95,30,29,1249
"Morgue 
Availability",29,99,283,63,29,77,29,27,636
